scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
64,,,1.0,884.734,716.694,0.39100000262260437,892.05,620.656,0.6850000023841858,884.173,539.32,0.578000009059906,979.805,467.545,0.4259999990463257,,,,,,,,,,,,,,,
65,,,1.0,883.9,707.664,0.4440000057220459,892.061,620.656,0.6869999766349792,884.173,539.322,0.5789999961853027,979.805,467.545,0.4259999990463257,,,,,,,,,,,,,,,
66,,,1.0,883.9,707.664,0.44200000166893005,892.063,620.656,0.6869999766349792,884.173,539.323,0.578000009059906,979.801,467.541,0.4259999990463257,,,,,,,,,,,,,,,
67,,,1.0,883.9,707.664,0.4410000145435333,892.063,620.657,0.6859999895095825,884.142,539.357,0.5759999752044678,979.8,467.541,0.4259999990463257,,,,,,,,,,,,,,,
68,,,1.0,892.201,716.995,0.3919999897480011,892.063,620.657,0.6859999895095825,884.142,539.357,0.5759999752044678,979.8,467.541,0.4259999990463257,,,,,,,,,,,,,,,
69,,,1.0,892.203,717.002,0.3869999945163727,892.064,620.657,0.6859999895095825,884.133,539.366,0.574999988079071,979.8,467.542,0.4259999990463257,,,,,,,,,,,,,,,
70,,,1.0,892.203,717.002,0.38199999928474426,892.064,620.657,0.6880000233650208,884.133,539.367,0.574999988079071,979.8,467.542,0.4259999990463257,,,,,,,,,,,,,,,
71,,,1.0,892.201,716.995,0.3790000081062317,892.064,620.657,0.6930000185966492,884.133,539.381,0.5799999833106995,979.802,467.546,0.4259999990463257,,,,,,,,,,,,,,,
72,,,1.0,892.174,716.981,0.3840000033378601,892.081,620.654,0.6909999847412109,884.139,539.386,0.5799999833106995,979.802,467.546,0.4259999990463257,,,,,,,,,,,,,,,
73,,,1.0,892.166,707.933,0.45399999618530273,892.082,620.657,0.6880000233650208,884.141,539.387,0.5799999833106995,979.802,467.546,0.4259999990463257,,,,,,,,,,,,,,,
74,,,1.0,884.157,707.933,0.49000000953674316,892.097,620.661,0.7009999752044678,884.151,539.45,0.578000009059906,979.802,467.546,0.4269999861717224,,,,,,,,,,,,,,,
75,,,1.0,883.991,707.933,0.5099999904632568,892.097,620.679,0.6970000267028809,884.166,539.45,0.5740000009536743,979.802,467.546,0.4259999990463257,,,,,,,,,,,,,,,
76,,,1.0,883.991,707.747,0.5730000138282776,892.097,620.681,0.6980000138282776,884.166,539.45,0.5740000009536743,979.802,467.546,0.4259999990463257,,,,,,,,,,,,,,,
77,874.909,821.042,0.8199999928474426,884.157,707.747,0.5509999990463257,892.097,620.733,0.6880000233650208,884.167,539.469,0.5669999718666077,979.802,467.546,0.4259999990463257,,,,,,,,,,,,,,,
78,,,1.0,884.157,700.796,0.46399998664855957,892.102,620.773,0.6970000267028809,884.237,539.469,0.6079999804496765,979.803,467.546,0.4259999990463257,,,,,,,,,,,,,,,
79,875.426,724.506,0.40700000524520874,884.242,700.71,0.44699999690055847,892.226,620.773,0.6779999732971191,891.003,547.884,0.621999979019165,979.804,467.546,0.4300000071525574,,,,,,,,,,,,,,,
80,875.481,724.611,0.4690000116825104,884.36,691.563,0.4860000014305115,892.226,620.773,0.703000009059906,891.263,547.885,0.6470000147819519,988.436,467.714,0.4740000069141388,,,,,,,,,,,,,,,
81,875.627,725.004,0.453000009059906,884.36,691.563,0.49900001287460327,892.228,620.782,0.7670000195503235,891.298,547.904,0.6019999980926514,988.437,467.715,0.531000018119812,,,,,,,,,,,,,,,
82,,,1.0,884.242,691.563,0.4959999918937683,892.228,620.782,0.7549999952316284,891.308,547.903,0.5860000252723694,988.437,467.715,0.5299999713897705,,,,,,,,,,,,,,,
83,,,1.0,884.242,691.698,0.5249999761581421,892.226,620.782,0.7599999904632568,891.298,547.903,0.6050000190734863,988.436,467.715,0.531000018119812,,,,,,,,,,,,,,,
